locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFLAKNEJ_00001	CDS	510				hypothetical protein
IFLAKNEJ_00002	CDS	1419	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
IFLAKNEJ_00003	CDS	1482	dtpD		COG3104	Dipeptide permease D
IFLAKNEJ_00004	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
IFLAKNEJ_00005	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
IFLAKNEJ_00006	CDS	933	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
IFLAKNEJ_00007	CDS	735	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
IFLAKNEJ_00008	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
IFLAKNEJ_00009	CDS	1047				hypothetical protein
IFLAKNEJ_00010	CDS	651				hypothetical protein
IFLAKNEJ_00011	CDS	378			COG1662	IS1 family transposase IS1R
IFLAKNEJ_00012	CDS	276			COG1662	IS1 family transposase IS1A
IFLAKNEJ_00013	CDS	249				hypothetical protein
IFLAKNEJ_00014	CDS	567	ybgD_1			putative fimbrial-like protein YbgD
IFLAKNEJ_00015	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
IFLAKNEJ_00016	CDS	108	ybgU			Protein YbgU
IFLAKNEJ_00017	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
IFLAKNEJ_00018	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
IFLAKNEJ_00019	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
IFLAKNEJ_00020	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
IFLAKNEJ_00021	CDS	2802	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
IFLAKNEJ_00022	CDS	1218	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
IFLAKNEJ_00023	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
IFLAKNEJ_00024	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
IFLAKNEJ_00025	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
IFLAKNEJ_00026	CDS	1917	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
IFLAKNEJ_00027	CDS	2634	mngB	3.2.1.-	COG0383	Mannosylglycerate hydrolase
IFLAKNEJ_00028	CDS	1569	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
IFLAKNEJ_00029	CDS	1140	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
IFLAKNEJ_00030	CDS	114	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
IFLAKNEJ_00031	CDS	294				hypothetical protein
IFLAKNEJ_00032	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
